DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,"Percent Satisfaction:
Instructional Core","Percent Satisfaction:
Systems for Improvement",Percent Satisfaction: School Culture
23K518,Kappa V,100%,93%,98%,90%,84%,85%
23K522,Mott Hall IV,93%,100%,98%,98%,95%,95%
23K599,Brooklyn Landmark Elementary School,93%,100%, ,100%,99%,98%
23K631,General D. Chappie James Elementary School of Science,29%,70%, ,92%,87%,89%
23K634,General D. Chappie James Middle School of Science,1%,82%,93%,85%,77%,76%
23K643,Brooklyn Democracy Academy,26%,100%,55%,96%,96%,93%
23K644,Eagle Academy for Young Men II,37%,78%,57%,88%,89%,88%
23K646,Aspirations Diploma Plus High School,33%,100%,66%,92%,90%,91%
23K647,Metropolitan Diploma Plus High School,54%,93%,90%,96%,95%,92%
23K664,Brooklyn Environmental Exploration School (BEES),82%,100%,100%,94%,94%,94%
23K668,Riverdale Avenue Middle School,71%,100%,88%,96%,95%,93%
23K671,Mott Hall Bridges Academy,54%,74%,70%,98%,100%,97%
23K697,Teachers Preparatory High School,40%,54%,83%,85%,79%,80%
24Q005,I.S. 5 - The Walter Crowley Intermediate School,61%,89%,98%,90%,87%,87%
24Q007,P.S. 007 Louis F. Simeone,92%,96%, ,86%,81%,86%
24Q012,P.S. 012 James B. Colgate,93%,98%, ,97%,95%,95%
24Q013,P.S. 013 Clement C. Moore,84%,73%, ,94%,90%,92%
24Q014,P.S. 014 Fairview,30%,55%, ,96%,92%,94%
24Q016,P.S. Q016 The Nancy DeBenedittis School,86%,100%, ,97%,94%,96%
24Q019,P.S. 019 Marino Jeantet,80%,90%, ,92%,89%,92%
24Q028,P.S. 28 - The Thomas Emanuel Early Childhood Center,84%,98%, ,96%,95%,95%
24Q049,P.S. 049 Dorothy Bonawit Kole,91%,56%,89%,91%,87%,89%
24Q058,P.S. 58 - School of Heroes,73%,63%,98%,84%,74%,85%
24Q061,I.S. 061 Leonardo Da Vinci,84%,65%,97%,87%,86%,84%
24Q068,P.S. 068 Cambridge,68%,86%, ,90%,84%,89%
24Q071,P.S. 071 Forest,66%,69%, ,95%,93%,93%
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,63%,34%,93%,81%,74%,79%
24Q077,I.S. 077,67%,100%,97%,88%,87%,85%
24Q081,P.S. 81Q Jean Paul Richter,92%,95%, ,95%,93%,94%
24Q087,P.S. / I.S. 087 Middle Village,40%,38%,88%,93%,93%,91%
24Q088,P.S. 088 Seneca,49%,79%, ,95%,87%,93%
24Q089,P.S. 089 Elmhurst,93%,97%, ,90%,88%,91%
24Q091,P.S. 091 Richard Arkwright,41%,51%, ,95%,88%,92%
24Q093,I.S. 093 Ridgewood,62%,99%,97%,84%,80%,82%
24Q102,P.S. 102 Bayview,34%,94%,98%,95%,92%,92%
24Q110,PS 110,56%,83%, ,95%,85%,91%
24Q113,P.S./I.S. 113 Anthony J. Pranzo,93%,100%,94%,96%,94%,96%
24Q119,I.S. 119 The Glendale,59%,94%,96%,86%,83%,84%
24Q125,I.S. 125 Thom J. McCann Woodside,53%,90%,97%,93%,91%,90%
24Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",53%,69%,96%,87%,85%,90%
24Q143,P.S. 143 Louis Armstrong,39%,83%, ,76%,67%,81%
24Q153,P.S. 153 Maspeth Elem,73%,97%,100%,95%,92%,94%
24Q199,P.S. 199 Maurice A. Fitzgerald,80%,100%, ,93%,88%,91%
24Q211,Elm Tree Elementary School,90%,92%, ,96%,95%,94%
24Q229,P.S. 229 Emanuel Kaplan,61%,96%,89%,94%,90%,92%
24Q236,International High School for Health Sciences,77%,100%,96%,99%,95%,94%
24Q239,P.S. 239,73%,98%, ,89%,82%,88%
24Q264,Academy of Finance and Enterprise,84%,100%,93%,90%,87%,92%
24Q267,High School of Applied Communication,37%,100%,94%,86%,81%,86%
24Q290,A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,73%,100%, ,84%,84%,87%
24Q293,Civic Leadership Academy,58%,91%,97%,96%,92%,94%
24Q296,Pan American International High School,62%,90%,94%,91%,90%,89%
24Q299,Bard High School Early College Queens,43%,81%,91%,92%,89%,93%
24Q305,Learners and Leaders,71%,64%, ,93%,92%,94%
24Q307,Pioneer Academy,100%,81%, ,93%,88%,92%
24Q311,Corona Arts and Sciences Academy,95%,86%,99%,97%,95%,96%
24Q330,P.S. 330,69%,93%, ,89%,83%,90%
24Q455,Newtown High School,42%,82%,71%,92%,93%,89%
24Q457,HS Arts & Business Yabc,30%,96%,38%,95%,95%,96%
24Q485,Grover Cleveland High School,15%,77%,58%,83%,83%,81%
24Q520,Middle College High School at LaGuardia Community College,36%,74%,83%,89%,89%,91%
24Q530,International High School at LaGuardia Community College,59%,83%,97%,97%,94%,94%
24Q550,High School for Arts and Business,29%,96%,86%,93%,92%,92%
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",18%,85%,78%,88%,87%,89%
24Q585,Maspeth High School,15%,66%,94%,86%,86%,87%
24Q600,Queens Vocational and Technical High School,11%,90%,87%,86%,84%,84%
24Q610,Aviation Career & Technical Education High School,15%,95%,88%,89%,91%,89%
24Q744,VOYAGES Preparatory,6%,87%,68%,97%,96%,95%
24Q877,The 51 Avenue Academy (The Path To Academic Excellence),94%,100%, ,94%,90%,94%
25Q020,P.S. 020 John Bowne,74%,63%, ,95%,93%,91%
25Q021,P.S. 021 Edward Hart,100%,98%, ,95%,93%,94%
25Q022,P.S. 022 Thomas Jefferson,70%,87%, ,95%,92%,93%
25Q024,P.S. 024 Andrew Jackson,83%,80%, ,89%,83%,88%
25Q025,I.S. 025 Adrien Block,84%,94%,99%,87%,85%,88%
25Q029,P.S. 029 Queens,71%,81%, ,96%,92%,93%
25Q032,P.S. 032 State Street,70%,100%, ,96%,95%,95%
25Q079,P.S. 079 Francis Lewis,71%,98%, ,89%,84%,88%
25Q107,P.S. 107 Thomas A Dooley,55%,89%, ,91%,85%,91%
25Q120,P.S. 120 Queens,61%,100%, ,87%,83%,87%
25Q129,P.S. 129 Patricia Larkin,63%,75%, ,98%,97%,97%
25Q130,P.S. 130,80%,92%, ,98%,95%,97%
25Q154,P.S. 154 Queens,67%,79%, ,91%,91%,92%
25Q163,P.S. 163 Flushing Heights,69%,60%, ,86%,82%,89%
25Q164,P.S. 164 Queens Valley,58%,66%,93%,90%,85%,87%
25Q165,P.S. 165 Edith K. Bergtraum,82%,83%, ,86%,77%,86%
25Q169,P.S. 169 Bay Terrace,79%,100%, ,96%,94%,95%
25Q184,P.S. 184 Flushing Manor,84%,90%, ,98%,96%,97%
25Q185,J.H.S. 185 Edward Bleeker,65%,80%,95%,89%,87%,86%
25Q189,J.H.S. 189 Daniel Carter Beard,90%,86%,99%,93%,91%,91%
25Q193,P.S. 193 Alfred J. Kennedy,76%,87%, ,89%,85%,90%
25Q194,J.H.S. 194 William Carr,44%,75%,94%,85%,83%,83%
25Q200,PS/MS 200 - The Pomonok School & STAR Academy,57%,74%,87%,90%,82%,83%
25Q201,P.S. 201 The Discovery School for Inquiry and Research,62%,72%, ,95%,91%,92%
25Q209,P.S. 209 Clearview Gardens,86%,93%, ,95%,94%,95%
25Q214,P.S. 214 Cadwallader Colden,68%,84%, ,94%,87%,93%
25Q219,P.S. 219 Paul Klapper,33%,62%,99%,90%,85%,90%
25Q237,I.S. 237,73%,92%,97%,84%,80%,80%
25Q240,Veritas Academy,59%,100%,98%,92%,88%,93%
25Q241,Queens High School for Language Studies,70%,100%,94%,95%,94%,95%
25Q242,P.S. 242 Leonard P. Stavisky Early Childhood School,57%,97%, ,88%,80%,87%
25Q244,The Active Learning Elementary School,69%,100%, ,98%,93%,95%
25Q250,I.S. 250 The Robert F. Kennedy Community Middle School,57%,100%,99%,90%,83%,82%
25Q252,"Queens School of Inquiry, The",66%,100%,96%,90%,83%,89%
25Q263,Flushing International High School,74%,100%,93%,95%,95%,93%
25Q281,East-West School of International Studies,54%,89%,91%,84%,82%,88%
25Q285,World Journalism Preparatory: A College Board School,48%,95%,93%,89%,84%,88%
25Q294,BELL Academy,64%,71%,97%,90%,83%,87%
25Q425,John Bowne High School,22%,65%,69%,86%,88%,83%
25Q460,Flushing High School,25%,57%,65%,81%,82%,76%
25Q467,Flushing Yabc,8%,75%,56%,92%,93%,92%
25Q499,"The Queens College School for Math, Science and Technology",67%,83%,99%,89%,86%,89%
25Q525,Townsend Harris High School,28%,91%,88%,89%,88%,92%
25Q540,Queens Academy High School,19%,65%,50%,84%,76%,83%
25Q670,Robert F. Kennedy Community High School,56%,93%,37%,91%,89%,91%
25Q792,North Queens Community High School,30%,100%,78%,93%,91%,89%
26Q018,P.S. 018 Winchester,61%,64%, ,95%,91%,92%
26Q026,P.S. 026 Rufus King,61%,68%, ,95%,89%,92%
26Q031,P.S. 031 Bayside,57%,84%, ,96%,92%,95%
26Q041,P.S. 041 Crocheron,71%,89%, ,98%,98%,98%
26Q046,P.S. 046 Alley Pond,54%,64%, ,97%,97%,97%
26Q067,J.H.S. 067 Louis Pasteur,34%,54%,97%,79%,76%,81%
26Q074,J.H.S. 074 Nathaniel Hawthorne,84%,82%,96%,91%,90%,89%
26Q094,P.S. 094 David D. Porter,84%,62%, ,96%,87%,94%
26Q098,P.S. 098 The Douglaston School,40%,100%, ,88%,85%,92%
26Q115,P.S. 115 Glen Oaks,44%,82%, ,97%,94%,94%
26Q133,P.S. 133 Queens,45%,77%, ,97%,95%,97%
26Q158,M.S. 158 Marie Curie,48%,65%,97%,88%,84%,86%
26Q159,P.S. 159,63%,88%, ,94%,91%,95%
26Q162,P.S. 162 John Golden,43%,88%, ,95%,91%,93%
26Q172,Irwin Altman Middle School 172,63%,43%,95%,82%,79%,82%
26Q173,P.S. 173 Fresh Meadows,85%,98%, ,94%,88%,93%
26Q178,P.S./ IS 178 Holliswood,67%,88%,98%,93%,90%,90%
26Q186,P.S. 186 Castlewood,84%,73%, ,97%,97%,97%
26Q188,P.S. 188 Kingsbury,48%,62%, ,97%,92%,97%
26Q191,P.S. 191 Mayflower,63%,100%, ,99%,97%,97%
26Q203,P.S. 203 Oakland Gardens,80%,84%, ,97%,96%,95%
26Q205,P.S. 205 Alexander Graham Bell,60%,76%, ,93%,88%,91%
26Q213,P.S. 213 The Carl Ullman School,41%,60%, ,96%,92%,94%
26Q216,J.H.S. 216 George J. Ryan,32%,63%,99%,83%,80%,81%
26Q221,P.S. 221 The North Hills School,80%,100%, ,97%,97%,97%
26Q266,P.S. / I.S. 266,78%,59%,98%,88%,85%,88%
26Q415,Benjamin N. Cardozo High School,15%,50%,75%,85%,83%,82%
26Q430,Francis Lewis High School,31%,73%,85%,94%,95%,93%
26Q435,Martin Van Buren High School,25%,100%,75%,80%,77%,73%
26Q495,Bayside High School,24%,88%,85%,81%,82%,84%
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",28%,95%,86%,83%,77%,82%
27Q042,P.S./M.S 042 R. Vernam,47%,100%,80%,84%,79%,77%
27Q043,P.S. 043,43%,90%,75%,86%,82%,78%
27Q045,P.S. 045 Clarence Witherspoon,38%,69%,90%,75%,68%,72%
27Q047,P.S. 047 Chris Galas,100%,100%,100%,97%,95%,96%
27Q051,P.S. 051,71%,95%, ,96%,96%,95%
27Q053,M.S. 053 Brian Piccolo,60%,91%,96%,90%,89%,85%
27Q056,P.S. 056 Harry Eichler,73%,100%, ,97%,95%,95%
27Q060,P.S. 060 Woodhaven,46%,54%, ,94%,89%,91%
27Q062,P. S. 62 - Chester Park School,100%,70%, ,96%,92%,94%
27Q063,P.S. 063 Old South,64%,84%, ,93%,88%,91%
27Q064,P.S. 064 Joseph P. Addabbo,75%,98%, ,97%,96%,96%
27Q065,P.S. 65 - The Raymond York Elementary School,72%,89%, ,92%,90%,92%
27Q066,P.S. 066 Jacqueline Kennedy Onassis,86%,95%, ,98%,96%,96%
27Q090,P.S. 090 Horace Mann,67%,65%, ,93%,89%,92%
27Q096,P.S. 096,84%,61%, ,92%,84%,90%
27Q097,P.S. 097 Forest Park,55%,94%, ,90%,81%,91%
27Q100,P.S. 100 Glen Morris,81%,89%, ,89%,88%,90%
27Q104,P.S. 104 The Bays Water,39%,81%, ,96%,95%,96%
27Q105,P.S. 105 The Bay School,31%,80%,99%,89%,90%,83%
27Q106,P.S. 106,28%,13%, ,79%,74%,77%
27Q108,P.S. 108 Captain Vincent G. Fowler,84%,100%, ,96%,93%,94%
27Q114,P.S. / M.S. 114 Belle Harbor,73%,79%,95%,87%,81%,87%
27Q123,P.S. 123,81%,88%, ,93%,91%,94%
27Q124,P.S. 124 Osmond A Church,53%,89%,100%,95%,93%,91%
27Q137,M.S. 137 America's School of Heroes,30%,78%,95%,88%,84%,81%
27Q146,P.S. 146 Howard Beach,53%,100%,99%,88%,81%,88%
27Q155,P.S. 155,77%,81%, ,96%,95%,95%
27Q183,P.S. 183 Dr. Richard R. Green,43%,75%,95%,91%,86%,85%
27Q197,P.S. 197 The Ocean School,33%,56%, ,86%,79%,80%
27Q202,J.H.S. 202 Robert H. Goddard,83%,94%,94%,92%,91%,89%
27Q207,P.S. 207 Rockwood Park,95%,78%,88%,87%,84%,87%
27Q210,J.H.S. 210 Elizabeth Blackwell,49%,51%,95%,89%,84%,85%
27Q215,P.S. 215 Lucretia Mott,35%,38%, ,77%,68%,76%
27Q223,P.S. 223 Lyndon B. Johnson,79%,83%, ,92%,89%,90%
27Q226,J.H.S. 226 Virgil I. Grissom,50%,78%,83%,81%,78%,72%
27Q232,P.S. 232 Lindenwood,45%,81%,98%,94%,87%,93%
27Q253,P.S. 253,84%,100%, ,91%,84%,88%
27Q254,P.S. 254 - The Rosa Parks School,88%,98%, ,97%,96%,96%
27Q260,Frederick Douglass Academy VI High School,25%,85%,73%,87%,82%,82%
27Q261,Voyages Prep - South Queens,49%,100%,76%,96%,96%,96%
27Q262,Channel View School for Research,59%,98%,93%,94%,94%,94%
27Q273,P.S. 273,76%,84%, ,95%,91%,94%
27Q282,Knowledge and Power Preparatory Academy VI,64%,100%,100%,80%,80%,87%
27Q297,Hawtree Creek Middle School,84%,88%,99%,94%,95%,95%
27Q302,"Queens High School for Information, Research, and Technology",24%,100%,71%,90%,88%,84%
27Q306,New York City Academy for Discovery,60%,74%, ,87%,82%,87%
27Q308,Robert H. Goddard High School of Communication Arts and Technology,63%,89%,93%,89%,90%,88%
27Q309,Academy of Medical Technology: A College Board School,42%,94%,69%,90%,89%,86%
27Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,55%,85%, ,99%,98%,98%
27Q318,WATERSIDE SCHOOL FOR LEADERSHIP,47%,93%,94%,92%,93%,93%
27Q319,VILLAGE ACADEMY,71%,82%,76%,91%,91%,89%
27Q323,Scholars' Academy,73%,96%,98%,96%,96%,96%
27Q324,Rockaway Park High School for Environmental Sustainability,18%,89%,77%,83%,81%,79%
27Q333,Goldie Maple Academy,89%,97%,100%,85%,86%,85%
27Q351,Rockaway Collegiate High School,36%,96%,77%,85%,80%,77%
27Q362,Wave Preparatory Elementary School,65%,85%, ,96%,94%,94%
27Q400,August Martin High School,12%,55%,51%,81%,80%,76%
27Q410,Beach Channel High School,2%,36%,69%,84%,77%,86%
27Q475,Richmond Hill High School,30%,57%,60%,86%,83%,82%
27Q480,John Adams High School,19%,88%,63%,85%,83%,79%
27Q487,John Adams Yabc,46%,100%,80%,95%,95%,96%
27Q650,"High School for Construction Trades, Engineering and Architecture",24%,92%,96%,88%,86%,91%
28Q008,J.H.S. 008 Richard S. Grossley,41%,91%,87%,88%,83%,78%
28Q030,P.S. 030 Queens,69%,100%, ,89%,86%,84%
28Q040,P.S. 040 Samuel Huntington,72%,97%, ,94%,94%,93%
28Q048,P.S. 048 William Wordsworth,73%,76%, ,95%,92%,93%
28Q050,P.S. 050 Talfourd Lawn Elementary School,60%,78%, ,89%,86%,87%
28Q054,P.S. 054 Hillside,68%,65%, ,91%,87%,90%
28Q055,P.S. 055 Maure,92%,97%, ,95%,92%,94%
28Q072,Catherine & Count Basie Middle School 72,28%,61%,82%,88%,84%,76%
28Q080,P.S. 080 Thurgood Marshall Magnet,81%,79%, ,81%,76%,80%
28Q082,P.S. 082 Hammond,73%,90%, ,89%,86%,91%
28Q086,P.S. Q086,75%,92%, ,93%,91%,93%
28Q099,P.S. 099 Kew Gardens,65%,93%,99%,91%,92%,92%
28Q101,P.S. 101 School in the Gardens,93%,97%,100%,95%,94%,94%
28Q117,P.S. 117 J. Keld / Briarwood School,75%,91%, ,90%,87%,90%
28Q121,P.S. 121 Queens,77%,100%, ,93%,91%,93%
28Q139,P.S. 139 Rego Park,100%,96%, ,86%,83%,87%
28Q140,P.S. 140 Edward K Ellington,71%,60%, ,88%,85%,85%
28Q144,P.S. 144 Col Jeromus Remsen,71%,88%, ,95%,94%,95%
28Q157,J.H.S. 157 Stephen A. Halsey,52%,99%,97%,90%,89%,86%
28Q160,P.S. 160 Walter Francis Bishop,66%,68%, ,93%,91%,91%
28Q161,P.S. 161 Arthur Ashe School,73%,96%, ,98%,97%,97%
28Q167,Metropolitan Expeditionary Learning School,63%,92%,88%,92%,91%,93%
28Q174,P.S. 174 William Sidney Mount,59%,69%, ,85%,77%,84%
28Q175,P.S. 175 The Lynn Gross Discovery School,82%,97%, ,95%,92%,92%
28Q182,P.S. 182 Samantha Smith,68%,70%, ,88%,86%,87%
28Q190,J.H.S. 190 Russell Sage,48%,82%,98%,86%,82%,82%
28Q196,P.S. 196 Grand Central Parkway,68%,100%, ,98%,96%,96%
28Q206,P.S. 206 The Horace Harding School,55%,98%, ,93%,92%,91%
28Q217,J.H.S. 217 Robert A. Van Wyck,64%,93%,93%,92%,91%,86%
28Q220,P.S. 220 Edward Mandel,67%,98%, ,91%,89%,92%
28Q284,York Early College Academy,92%,97%,97%,91%,88%,88%
28Q287,The Emerson School,99%,88%,92%,95%,90%,90%
28Q303,The Academy for Excellence through the Arts,97%,100%, ,99%,99%,98%
28Q310,Queens Collegiate: A College Board School,56%,94%,88%,77%,74%,76%
28Q325,Hillside Arts & Letters Academy,17%,97%,85%,89%,90%,89%
28Q328,High School for Community Leadership,32%,93%,75%,96%,94%,93%
28Q338,Queens Satellite High School for Opportunity,15%,81%,54%,93%,91%,92%
28Q350,Jamaica Gateway to the Sciences,56%,87%,94%,91%,89%,87%
28Q354,PS 354,46%,77%, ,97%,94%,95%
28Q440,Forest Hills High School,9%,71%,44%,87%,86%,86%
28Q470,Jamaica High School,74%,60%,97%,92%,88%,94%
28Q505,Hillcrest High School,32%,89%,40%,97%,97%,95%
28Q620,Thomas A. Edison Career and Technical Education High School,56%,100%,94%,87%,87%,86%
28Q680,Queens Gateway to Health Sciences Secondary School,20%,73%,89%,77%,67%,80%
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,20%,80%,85%,89%,88%,89%
28Q687,Queens High School for the Sciences at York College,20%,65%,87%,90%,85%,91%
28Q690,High School for Law Enforcement and Public Safety,46%,94%,83%,80%,78%,79%
28Q896,"Young Women's Leadership School, Queens",78%,82%,96%,85%,84%,87%
29Q015,P.S. 015 Jackie Robinson,77%,83%, ,94%,92%,93%
29Q033,P.S. 033 Edward M. Funk,55%,69%, ,97%,95%,96%
29Q034,P.S. 034 John Harvard,26%,55%, ,88%,75%,82%
29Q035,P.S. 035 Nathaniel Woodhull,54%,95%, ,82%,73%,79%
29Q036,P.S. 036 Saint Albans School,89%,90%, ,89%,84%,89%
29Q037,Cynthia Jenkins School,87%,94%, ,90%,85%,86%
29Q038,P.S. 038 Rosedale,84%,100%, ,93%,86%,92%
29Q052,P.S. 052 Queens,46%,95%, ,86%,85%,86%
29Q059,I.S. 059 Springfield Gardens,33%,85%,93%,90%,86%,84%
29Q095,P.S. 095 Eastwood,100%,100%, ,98%,97%,97%
29Q109,Jean Nuzzi Intermediate School,59%,91%,94%,83%,74%,74%
29Q116,PS/IS 116 William C. Hughley,53%,98%,85%,88%,83%,84%
29Q118,P.S. 118 Lorraine Hansberry,31%,92%, ,89%,80%,88%
29Q131,P.S. 131 Abigail Adams,52%,96%, ,93%,88%,93%
29Q132,P.S. 132 Ralph Bunche,61%,85%, ,93%,90%,95%
29Q134,P.S. 134 Hollis,42%,79%, ,90%,82%,80%
29Q135,The Bellaire School,26%,46%, ,82%,75%,86%
29Q136,P.S. 136 Roy Wilkins,97%,93%, ,95%,91%,91%
29Q138,P.S./ M.S.138 Sunrise,59%,96%,95%,88%,86%,85%
29Q147,PS/MS 147 Ronald McNair,8%,48%,97%,78%,73%,77%
29Q156,P.S. 156 Laurelton,61%,75%,96%,83%,73%,76%
29Q176,P.S. 176 Cambria Heights,50%,78%, ,96%,94%,95%
29Q181,P.S. 181 Brookfield,54%,76%, ,96%,92%,95%
29Q192,I.S. 192 The Linden,79%,67%,79%,93%,92%,86%
29Q195,P.S. 195 William Haberle,97%,100%, ,98%,97%,95%
29Q208,P.S. / I.S. 208,86%,76%,97%,91%,86%,89%
29Q238,I.S. 238 - Susan B. Anthony Academy,21%,76%,62%,87%,85%,81%
29Q243,Institute for Health Professions at Cambria Heights,51%,71%,89%,95%,96%,92%
29Q248,Queens Preparatory Academy,22%,50%,71%,84%,75%,80%
29Q251,P.S. 251 Queens,71%,96%, ,93%,90%,92%
29Q259,Pathways College Preparatory School: A College Board School,71%,73%,85%,81%,80%,81%
29Q265,Excelsior Preparatory High School,20%,96%,90%,90%,90%,88%
29Q268,PS/IS 268,40%,77%,96%,88%,83%,86%
29Q270,The Gordon Parks School,60%,76%,100%,86%,80%,82%
29Q272,George Washington Carver High School for the Sciences,19%,100%,80%,83%,79%,80%
29Q283,Preparatory Academy for Writers: A College Board School,17%,91%,82%,91%,94%,92%
29Q289,Queens United Middle School,76%,78%,100%,93%,92%,88%
29Q295,P.S./I.S. 295,99%,100%,100%,87%,83%,88%
29Q326,Cambria Heights Academy,71%,96%,91%,85%,86%,85%
29Q327,Eagle Academy for Young Men III,28%,65%,93%,80%,75%,82%
29Q355,Collaborative Arts Middle School,33%,64%,92%,88%,86%,80%
29Q356,Community Voices Middle School,41%,84%,86%,92%,91%,88%
29Q492,"Mathematics, Science Research and Technology Magnet High School",40%,86%,75%,72%,68%,71%
29Q494,"Law, Government and Community Service High School",3%,64%,61%,70%,67%,72%
29Q496,"Business, Computer Applications & Entrepreneurship High School",16%,80%,68%,74%,73%,75%
29Q498,Humanities & Arts Magnet High School,13%,83%,76%,82%,82%,79%
30Q002,P.S. 002 Alfred Zimberg,80%,100%, ,96%,93%,94%
30Q010,I.S. 010 Horace Greeley,79%,97%,95%,93%,91%,90%
30Q011,P.S. 011 Kathryn Phelan,41%,69%,92%,96%,91%,93%
30Q017,P.S. 017 Henry David Thoreau,98%,98%, ,93%,90%,93%
30Q069,P.S. 069 Jackson Heights,66%,100%, ,94%,90%,92%
30Q070,P.S. 070 Queens,66%,57%, ,79%,69%,80%
30Q076,P.S. 076 William Hallet,18%,100%, ,88%,85%,87%
30Q078,P.S./I.S. 78Q,43%,100%,93%,96%,95%,94%
30Q084,P.S. 084 Steinway,81%,74%,100%,84%,79%,88%
30Q085,P.S. 085 Judge Charles Vallone,51%,45%, ,86%,87%,90%
30Q092,P.S. 092 Harry T. Stewart Sr.,74%,68%, ,96%,93%,96%
30Q111,P.S. 111 Jacob Blackwell,43%,90%,93%,88%,82%,80%
30Q112,P.S. 112 Dutch Kills,59%,89%, ,92%,90%,92%
30Q122,P.S. 122 Mamie Fay,98%,76%,99%,89%,81%,90%
30Q126,Albert Shanker School for Visual and Performing Arts,21%,75%,84%,94%,93%,92%
30Q127,P.S. 127 Aerospace Science Magne,31%,53%,91%,79%,72%,75%
30Q141,I.S. 141 The Steinway,99%,95%,97%,92%,89%,90%
30Q145,I.S. 145 Joseph Pulitzer,71%,97%,,90%,87%,86%
30Q148,P.S. 148 Queens,54%,89%, ,72%,65%,81%
30Q149,P.S. 149 Christa Mcauliffe,78%,100%, ,98%,97%,97%
30Q150,P.S. 150 Queens,74%,85%,99%,88%,85%,88%
30Q151,P.S. 151 Mary D. Carter,81%,65%, ,94%,91%,93%
30Q152,P.S. 152 Gwendoline N. Alleyne School,38%,50%,100%,94%,88%,92%
30Q166,P.S. 166 Henry Gradstein,42%,67%, ,91%,86%,88%
30Q171,P.S. 171 Peter G. Van Alst,25%,64%, ,92%,89%,90%
30Q204,I.S. 204 Oliver W. Holmes,49%,93%,96%,83%,81%,80%
30Q212,P.S. 212,80%,72%, ,94%,88%,93%
30Q222,P.S. Q222 - Fire Fighter Christopher A. Santora School,79%,95%, ,96%,93%,95%
30Q227,I.S. 227 Louis Armstrong,72%,75%,99%,92%,91%,89%
30Q228,P.S. 228 Early Childhood Magnet School of the Arts,79%,47%, ,98%,96%,97%
30Q230,I.S. 230,71%,82%,98%,88%,85%,87%
30Q234,P.S. 234,91%,71%, ,93%,89%,92%
30Q235,Academy for New Americans,97%,100%,96%,99%,99%,97%
30Q258,Energy Tech High School,39%,100%,95%,94%,91%,91%
30Q280,P.S. 280,79%,100%, ,95%,91%,94%
30Q286,"Young Women's Leadership School, Astoria",53%,95%,99%,93%,90%,94%
30Q291,Hunters Point Community Middle School,55%,100%,87%,95%,92%,94%
30Q301,Academy for Careers in Television and Film,79%,100%,100%,95%,93%,95%
30Q329,East Elmhurst Community School,83%,60%, ,100%,98%,99%
30Q445,William Cullen Bryant High School,14%,45%,77%,76%,76%,75%
30Q450,Long Island City High School,18%,91%,75%,85%,86%,82%
30Q501,Frank Sinatra School of the Arts High School,33%,96%,96%,88%,86%,92%
30Q502,Information Technology High School,7%,96%,81%,87%,84%,86%
30Q555,Newcomers High School,15%,85%,86%,91%,86%,89%
30Q575,Academy of American Studies,33%,81%,95%,87%,84%,90%
30Q580,Baccalaureate School for Global Education,33%,33%,96%,88%,78%,91%
31R001,P.S. 001 Tottenville,61%,100%, ,93%,90%,94%
31R002,I.S. R002 George L. Egbert,59%,81%,94%,84%,80%,81%
31R003,P.S. 003 The Margaret Gioiosa School,74%,77%, ,85%,76%,87%
31R004,P.S. 004 Maurice Wollin,99%,99%, ,95%,95%,94%
31R005,P.S. 005 Huguenot,89%,100%, ,96%,94%,95%
31R006,P.S. 6 Corporal Allan F. Kivlehan School,83%,92%, ,91%,85%,89%
31R007,I.S. 007 Elias Bernstein,66%,77%,98%,90%,90%,89%
31R008,P.S. 8 Shirlee Solomon,93%,94%, ,96%,96%,96%
31R009,Naples Street Elementary School,99%,100%, ,100%,99%,99%
31R011,P.S. 11 Thomas Dongan School,61%,91%, ,85%,86%,85%
31R013,P.S. 013 M. L. Lindemeyer,38%,86%, ,94%,89%,93%
31R014,P.S. 014 Cornelius Vanderbilt,54%,70%, ,94%,89%,83%
31R016,P.S. 016 John J. Driscoll,30%,48%, ,83%,75%,77%
31R018,P.S. 018 John G. Whittier,73%,69%, ,92%,90%,91%
31R019,P.S. 019 The Curtis School,58%,87%, ,92%,88%,92%
31R020,P.S. 020 Port Richmond,67%,77%, ,95%,93%,93%
31R021,P.S. 21 Margaret Emery-Elm Park,77%,100%, ,97%,95%,96%
31R022,P.S. 022 Graniteville,36%,91%, ,88%,80%,84%
31R023,P.S. 023 Richmondtown,76%,72%, ,96%,95%,97%
31R024,I.S. 024 Myra S. Barnes,81%,79%,98%,86%,86%,84%
31R026,P.S. 026 The Carteret School,74%,100%, ,99%,98%,98%
31R027,I.S. 027 Anning S. Prall,46%,99%,97%,87%,85%,81%
31R029,P.S. 029 Bardwell,81%,73%, ,96%,93%,96%
31R030,P.S. 030 Westerleigh,57%,91%, ,96%,95%,97%
31R031,P.S. 031 William T. Davis,53%,79%, ,94%,88%,89%
31R032,P.S. 032 The Gifford School,65%,86%, ,82%,78%,82%
